gene_id	gene_name	SYMBOL	ENTREZID	baseMean	log2FoldChange	padj
ENSG00000117152.14	RGS4	RGS4	5999	110.192210570162	-1.11499740599374	1.20456382093881e-05
ENSG00000054938.18	CHRDL2	CHRDL2	25884	89.2453320294069	-1.36386500532622	1.25538262449225e-05
ENSG00000181634.9	TNFSF15	TNFSF15	9966	31.335067530349	-2.57164412811424	1.35425157810091e-05
ENSG00000109265.17	CRACD	CRACD	57482	109.856033424465	-1.13033685581461	1.39969122191293e-05
ENSG00000154310.19	TNIK	TNIK	23043	803.121823607049	-1.19410091604043	1.4037432457259e-05
ENSG00000164619.11	BMPER	BMPER	168667	567.772309135337	-1.3834460241797	1.50324712859564e-05
ENSG00000122679.10	RAMP3	RAMP3	10268	24.8856895278817	-4.34834235850206	1.515639444434e-05
ENSG00000123689.8	G0S2	G0S2	50486	41.8235907079244	-2.61468881119949	1.515639444434e-05
ENSG00000259583.5	ALDH1A3-AS1	ALDH1A3-AS1	101927751	138.608175196878	-1.24746608967251	1.68605278651341e-05
ENSG00000145911.9	N4BP3	N4BP3	23138	76.0902325661141	-1.36055356786102	1.80880537743378e-05
ENSG00000184564.12	SLITRK6	SLITRK6	84189	41.5545885389706	-3.00647038935303	1.84847545246187e-05
ENSG00000114670.16	NEK11	NEK11	79858	187.094689035698	-1.0592871829508	2.27487181074065e-05
ENSG00000092969.13	TGFB2	TGFB2	7042	218.739157498763	-1.5946190925105	2.68275652358553e-05
ENSG00000109881.19	CCDC34	CCDC34	91057	76.9640995010735	-1.33977181100502	2.93234738292881e-05
ENSG00000095585.20	BLNK	BLNK	29760	48.5477130191645	-1.98874692771316	3.62360206460249e-05
ENSG00000102385.15	DRP2	DRP2	1821	111.748565009701	-1.06813385168952	3.96338406503111e-05
ENSG00000164929.19	BAALC	BAALC	79870	98.9870660215722	-1.43849719722587	4.08228663756807e-05
ENSG00000143850.19	PLEKHA6	PLEKHA6	22874	656.839715056335	-1.01653806152834	4.17061335818325e-05
ENSG00000188312.16	CENPP	CENPP	401541	121.536952260778	-1.17187433436926	4.62318761501509e-05
ENSG00000164530.17	PI16	PI16	221476	127.990286694446	-1.69864742225506	4.76518101794719e-05
ENSG00000188501.13	LCTL	LCTL	197021	12.4469796215483	-5.97220217643733	4.86148249865322e-05
ENSG00000155897.12	ADCY8	ADCY8	114	26.1947170589152	-4.1322843571102	5.07625336993323e-05
ENSG00000141469.20	SLC14A1	SLC14A1	6563	58.7623147832407	-3.8337001981813	5.11917604773099e-05
ENSG00000157368.14	IL34	IL34	146433	76.7691207118284	-2.2989142589001	5.58110394958217e-05
ENSG00000204103.4	MAFB	MAFB	9935	131.701722792461	-1.90693154223887	6.26518137464619e-05
ENSG00000122966.20	CIT	CIT	11113	309.133472883687	-1.23080967359586	6.36562779605814e-05
ENSG00000196739.16	COL27A1	COL27A1	85301	470.367589764501	-1.23495839362421	6.38606229183811e-05
ENSG00000165495.18	PKNOX2	PKNOX2	63876	20.0785007842529	-2.63126731872959	6.47226187694558e-05
ENSG00000131242.20	RAB11FIP4	RAB11FIP4	84440	41.889622280912	-1.70305215837294	7.33028814922088e-05
ENSG00000165895.20	ARHGAP42	ARHGAP42	143872	147.966281241695	-1.40002443382571	8.04244641853194e-05
ENSG00000223764.3	LINC02593	LINC02593	100130417	38.2732483259746	-2.55617032997834	9.152845954439e-05
ENSG00000065413.22	ANKRD44	ANKRD44	91526	246.235105019157	-1.04979781659552	0.00010336938417186
ENSG00000125965.11	GDF5	GDF5	8200	457.960365703237	-1.23931385851918	0.00010790967408972
ENSG00000189007.18	ADAT2	ADAT2	134637	172.602494638746	-1.05539444557413	0.000123610955536997
ENSG00000272970.6	ENSG00000272970	LOC107986163	107986163	49.1320983718496	-1.49194117351836	0.000134208567221795
ENSG00000259343.10	TMC3-AS1	LOC105370921	105370921	97.2625839850256	-1.06672295169189	0.000142595423739623
ENSG00000006283.18	CACNA1G	CACNA1G	8913	65.1454436288112	-1.59080990157571	0.000142652899814764
ENSG00000056736.12	IL17RB	IL17RB	55540	74.5291949199096	-1.13039430119821	0.000158368546175589
ENSG00000079462.10	PAFAH1B3	PAFAH1B3	5050	83.2856166760019	-1.06914603090379	0.000179429641934045
ENSG00000163554.15	SPTA1	SPTA1	6708	10.3764508742549	-3.56149650268575	0.000192117186580606
ENSG00000157168.23	NRG1	NRG1	3084	102.268113553804	-1.25620117223362	0.000202358150181672
ENSG00000117600.16	PLPPR4	PLPPR4	9890	38.89659358381	-2.39683733893582	0.000225644120065803
ENSG00000153208.21	MERTK	MERTK	10461	91.9616952421579	-1.25535670162427	0.000237891389669771
ENSG00000186198.6	SLC51B	SLC51B	123264	63.2078137496828	-1.39043396454267	0.00024174864338655
ENSG00000282773.1	GOLGA8Q	GOLGA8Q	727909	19.8659918114518	-5.90337188426914	0.000256338044153197
ENSG00000282773.1	GOLGA8Q	GOLGA8O	728047	19.8659918114518	-5.90337188426914	0.000256338044153197
ENSG00000203727.5	SAMD5	SAMD5	389432	346.279298589798	-1.04991336525702	0.000275157362896558
ENSG00000103257.12	SLC7A5	SLC7A5	8140	451.527896881329	-1.2551409414656	0.000275699347989045
ENSG00000070808.19	CAMK2A	CAMK2A	815	34.1334285677661	-1.7426949439955	0.000278378832858049
ENSG00000109794.16	FAM149A	FAM149A	25854	145.234183612736	-1.18185249349891	0.000288473404168866
ENSG00000240764.5	PCDHGC5	PCDHGC5	56097	53.2643893452019	-1.29578043051818	0.000295237330012428
ENSG00000230417.13	LINC00856	LINC00595	414243	50.0487009963897	-1.5028543267427	0.00032218135936936
